Unnamed: 0,所在展柜,产品品类,产品照片,多规格型号说明,产品序号,中文名称,英文名称,产品介绍（/优势特点）,注册证名称,注册证号,生效时间,所属公司,备注
,心内介植入1,心内介入,,,1.0,三通旋塞-OFF,Manifold for Single use-OFF,"用于介入手术中压力监测管路中的连接、输液和通路切换。
ON-阀门开关所指方向开放",一次性使用三通旋塞,沪械注准20242030122,2024.5.30,瑛泰,外贸型号
,,,,,2.0,三通旋塞-ON,Manifold for Single use-ON,"用于介入手术中压力监测管路中的连接、输液和通路切换。
OFF-阀门开关所指方向关闭",一次性使用三通旋塞,沪械注准20242030122,2024.5.30,瑛泰,外贸型号
,,,,,3.0,Y型连接器,Stanch™ Y Connector Pack,产品用于PTCA手术中，在体外辅助建立导引钢丝进入人体的工作通道。,Y型连接器,沪械注准20242030313,2025.1.14,瑛泰,
,,,,,4.0,按压式Y型连接器,Stanch™ Y Connector Pack,该产品主要用于PTCA手术中，在体外辅助建立导引钢丝进入人体的工作通道。,按压式Y型连接器,沪械注准20222030087,2022.7.25,瑛泰,
,,,,,5.0,Y型连接阀套件,Stanch™ Y Connector Pack,该产品是经皮血管成形术中的辅助器械，用于连接管路，在体外建立通道辅助器械进入人体，同时可减少血液流出。,Y型连接阀套件,沪械注准20232030324,2023.11.24,瑛泰,
,,,,,6.0,穿刺针,Seldinger Needle,适用于对人体进行经皮穿刺。,介入手术器械,国械注准20193031843,2024.5.8,瑛泰,
,,,,,7.0,一次性使用血管鞘,Introducer,用于介入手术中，将导丝、导管等医疗器械插入血管，另外还可通过其侧臂延长管进行输液、测压、给药等。,一次性使用血管鞘,国械注准20213030647,2021.8.18,瑛泰,
,,,,,8.0,一次性使用导管鞘套装,Introducer Set,主要用于介入手术中扩大经皮切口，建立导管导入血管的通道。,一次性使用导管鞘套装,沪械注准20242030270,2024.8.20,瑛泰,
,,,,,9.0,一次性使用亲水涂层导管鞘套装,Introducer Set,该产品用于介入手术中扩大桡动脉经皮切口，建立导管导入血管的通道。,一次性使用亲水涂层导管鞘,国械注准20203031014,2020.12.31,瑛泰,
,,,,,10.0,股动脉鞘套装,Femoral Introducer set,用于股动脉介入手术，将导丝、导管等医疗器械插入血管。,一次性使用导管鞘套装,国械注准20213030647,2021.8.18,瑛泰,
,,,,,11.0,桡动脉鞘套装,Transradial introducer Set,用于桡动脉介入手术，将导丝、导管等医疗器械插入血管。,一次性使用导管鞘套装,国械注准20213030647,2021.8.18,瑛泰,
,,,,,12.0,球囊扩张压力泵,ForceFlator™ Inflation Device,用于PTCA手术中，向球囊扩张导管加压，从而使球囊扩张，以达到扩张血管或在血管内留置支架的目的。,球囊扩张压力泵,沪械注准20212030373,2021.6.19,瑛泰,
,,,,,13.0,数显球囊扩张压力泵,Digiflator®Digital Inflation Device,该产品适用于在介入手术中向球囊扩张导管加压、泄压，使球囊扩张和回缩，监测并控制球囊的压力。,数显球囊扩张压力泵,沪械注准20232030021,2023.2.6,瑛泰,
,,,,,14.0,按压式球囊扩张压力泵,FastFlator™ Inflation Device,用于PTCA手术中，向球囊扩张导管加压，从而使球囊扩张，以达到扩张血管或在血管内留置支架的目的。,按压式球囊扩张压力泵,沪械注准20212030374,2021.6.19,瑛泰,
